guideline 7367 chars, 5 repeats, temperature=None, effort=high
  dev10: 10 docs, 74 gold annotations
  dev20: 20 docs, 162 gold annotations
  dev30: 30 docs, 273 gold annotations
cache: H:\Git\research\修論\llm-guideline-moderation-source\reproduction\results\size_noise

repeat 1: 0 cached, 30 to annotate
    r1 10196379.json     364.2s  1/30  (elapsed 6.1 min)
    r1 10447258.json     227.4s  2/30  (elapsed 9.9 min)
    r1 10484772.json     222.8s  3/30  (elapsed 13.6 min)
    r1 10484981.json     188.1s  4/30  (elapsed 16.7 min)
    r1 10502833.json     113.4s  5/30  (elapsed 18.6 min)
    r1 10545613.json     113.7s  6/30  (elapsed 20.5 min)
    r1 10577908.json     496.3s  7/30  (elapsed 28.8 min)
    r1 10709732.json     221.7s  8/30  (elapsed 32.5 min)
    r1 10724160.json      48.7s  9/30  (elapsed 33.3 min)
    r1 10924409.json     545.2s  10/30  (elapsed 42.4 min)
    r1 10958786.json      98.9s  11/30  (elapsed 44.0 min)
    r1 1303173.json       97.6s  12/30  (elapsed 45.6 min)
    r1 1316718.json      269.7s  13/30  (elapsed 50.1 min)
    r1 133535.json       105.3s  14/30  (elapsed 51.9 min)
    r1 1345170.json       82.8s  15/30  (elapsed 53.3 min)
    r1 1671881.json      136.0s  16/30  (elapsed 55.5 min)
    r1 2253937.json      153.9s  17/30  (elapsed 58.1 min)
    r1 3354603.json      175.0s  18/30  (elapsed 61.0 min)
    r1 3377761.json      174.4s  19/30  (elapsed 63.9 min)
    r1 3876122.json      164.1s  20/30  (elapsed 66.7 min)
    r1 6859721.json      467.7s  21/30  (elapsed 74.4 min)
    r1 7202134.json      162.7s  22/30  (elapsed 77.2 min)
    r1 7444053.json      129.5s  23/30  (elapsed 79.3 min)
    r1 7523157.json      326.3s  24/30  (elapsed 84.8 min)
    r1 7833921.json      191.9s  25/30  (elapsed 88.0 min)
    r1 7894493.json      156.7s  26/30  (elapsed 90.6 min)
    r1 7951315.json      234.6s  27/30  (elapsed 94.5 min)
    r1 8317477.json      102.6s  28/30  (elapsed 96.2 min)
    r1 8326491.json      102.9s  29/30  (elapsed 97.9 min)
    r1 8531967.json      144.5s  30/30  (elapsed 100.3 min)
repeat 1 done: dev10 F1=0.8028  dev20 F1=0.7702  dev30 F1=0.7954

repeat 2: 0 cached, 30 to annotate
    r2 10196379.json     167.2s  1/30  (elapsed 103.1 min)
    r2 10447258.json     171.0s  2/30  (elapsed 105.9 min)
    r2 10484772.json     192.2s  3/30  (elapsed 109.2 min)
    r2 10484981.json     193.9s  4/30  (elapsed 112.4 min)
    r2 10502833.json     133.6s  5/30  (elapsed 114.6 min)
    r2 10545613.json     118.0s  6/30  (elapsed 116.6 min)
    r2 10577908.json     268.3s  7/30  (elapsed 121.0 min)
    r2 10709732.json     204.5s  8/30  (elapsed 124.5 min)
    r2 10724160.json      69.2s  9/30  (elapsed 125.6 min)
    r2 10924409.json     296.7s  10/30  (elapsed 130.6 min)
    r2 10958786.json      59.5s  11/30  (elapsed 131.5 min)
    r2 1303173.json      166.1s  12/30  (elapsed 134.3 min)
    r2 1316718.json      266.3s  13/30  (elapsed 138.8 min)
    r2 133535.json        95.8s  14/30  (elapsed 140.4 min)
    r2 1345170.json       82.4s  15/30  (elapsed 141.7 min)
    r2 1671881.json      105.6s  16/30  (elapsed 143.5 min)
    r2 2253937.json      241.6s  17/30  (elapsed 147.5 min)
    r2 3354603.json      236.5s  18/30  (elapsed 151.5 min)
    r2 3377761.json       85.4s  19/30  (elapsed 152.9 min)
    r2 3876122.json      142.1s  20/30  (elapsed 155.2 min)
    r2 6859721.json      188.8s  21/30  (elapsed 158.4 min)
    r2 7202134.json      448.8s  22/30  (elapsed 165.9 min)
    r2 7444053.json       95.8s  23/30  (elapsed 167.5 min)
    r2 7523157.json      181.8s  24/30  (elapsed 170.5 min)
    r2 7833921.json      152.1s  25/30  (elapsed 173.0 min)
    r2 7894493.json       93.7s  26/30  (elapsed 174.6 min)
    r2 7951315.json      208.8s  27/30  (elapsed 178.1 min)
    r2 8317477.json      105.4s  28/30  (elapsed 179.8 min)
    r2 8326491.json      115.3s  29/30  (elapsed 181.8 min)
    r2 8531967.json      141.3s  30/30  (elapsed 184.1 min)
repeat 2 done: dev10 F1=0.8085  dev20 F1=0.7622  dev30 F1=0.8038

repeat 3: 0 cached, 30 to annotate
    r3 10196379.json     169.6s  1/30  (elapsed 186.9 min)
    r3 10447258.json     176.6s  2/30  (elapsed 189.9 min)
    r3 10484772.json     149.5s  3/30  (elapsed 192.4 min)
    r3 10484981.json     208.8s  4/30  (elapsed 195.9 min)
