model deepseek-v4-flash, guideline 7367 chars, 5 repeats, temperature=0.0, effort=none
  dev10: 10 docs, 74 gold annotations
cache: C:\git\shuron\experiments\reproduction\results\temp_ablation\B1_ds_temp0

repeat 1: 0 cached, 10 to annotate
    r1 10196379.json     113.5s  1/10  (elapsed 1.9 min)
    r1 10484772.json      85.8s  2/10  (elapsed 3.3 min)
    r1 10545613.json      46.5s  3/10  (elapsed 4.1 min)
    r1 10577908.json     175.8s  4/10  (elapsed 7.0 min)
    r1 10724160.json      78.2s  5/10  (elapsed 8.3 min)
    r1 1303173.json      131.7s  6/10  (elapsed 10.5 min)
    r1 1345170.json      488.7s  7/10  (elapsed 18.7 min)
    r1 1671881.json       79.7s  8/10  (elapsed 20.0 min)
    r1 6859721.json      166.6s  9/10  (elapsed 22.8 min)
    r1 8326491.json      122.3s  10/10  (elapsed 24.8 min)
repeat 1 done: dev10 F1=0.8286

repeat 2: 0 cached, 10 to annotate
    r2 10196379.json     100.7s  1/10  (elapsed 26.5 min)
    r2 10484772.json     100.2s  2/10  (elapsed 28.2 min)
    r2 10545613.json      32.3s  3/10  (elapsed 28.7 min)
    r2 10577908.json      97.2s  4/10  (elapsed 30.3 min)
    r2 10724160.json      54.8s  5/10  (elapsed 31.2 min)
    r2 1303173.json      101.0s  6/10  (elapsed 32.9 min)
    r2 1345170.json      923.0s  7/10  (elapsed 48.3 min)
    r2 1671881.json       92.6s  8/10  (elapsed 49.9 min)
    r2 6859721.json       95.3s  9/10  (elapsed 51.4 min)
    r2 8326491.json      121.1s  10/10  (elapsed 53.5 min)
repeat 2 done: dev10 F1=0.7647

repeat 3: 0 cached, 10 to annotate
    r3 10196379.json      91.2s  1/10  (elapsed 55.0 min)
    r3 10484772.json     106.5s  2/10  (elapsed 56.8 min)
    r3 10545613.json      27.2s  3/10  (elapsed 57.2 min)
    r3 10577908.json     103.8s  4/10  (elapsed 58.9 min)
    r3 10724160.json      39.5s  5/10  (elapsed 59.6 min)
    r3 1303173.json      111.2s  6/10  (elapsed 61.5 min)
    r3 1345170.json       67.0s  7/10  (elapsed 62.6 min)
    r3 1671881.json       71.2s  8/10  (elapsed 63.8 min)
    r3 6859721.json      111.8s  9/10  (elapsed 65.6 min)
    r3 8326491.json      111.3s  10/10  (elapsed 67.5 min)
repeat 3 done: dev10 F1=0.8286

repeat 4: 0 cached, 10 to annotate
