model deepseek-v4-flash, guideline 7367 chars, 5 repeats, temperature=None, effort=none
  dev10: 10 docs, 74 gold annotations
cache: C:\git\shuron\experiments\reproduction\results\temp_ablation\B2_ds_default

repeat 1: 0 cached, 10 to annotate
    r1 10196379.json     104.9s  1/10  (elapsed 1.7 min)
    r1 10484772.json      99.4s  2/10  (elapsed 3.4 min)
    r1 10545613.json      22.6s  3/10  (elapsed 3.8 min)
    r1 10577908.json     140.1s  4/10  (elapsed 6.1 min)
    r1 10724160.json      46.1s  5/10  (elapsed 6.9 min)
    r1 1303173.json      122.7s  6/10  (elapsed 8.9 min)
    r1 1345170.json       87.0s  7/10  (elapsed 10.4 min)
    r1 1671881.json      517.7s  8/10  (elapsed 19.0 min)
    r1 6859721.json      118.5s  9/10  (elapsed 21.0 min)
    r1 8326491.json       99.7s  10/10  (elapsed 22.6 min)
repeat 1 done: dev10 F1=0.7770

repeat 2: 0 cached, 10 to annotate
    r2 10196379.json     117.0s  1/10  (elapsed 24.6 min)
    r2 10484772.json     113.2s  2/10  (elapsed 26.5 min)
    r2 10545613.json      27.0s  3/10  (elapsed 26.9 min)
    r2 10577908.json     134.8s  4/10  (elapsed 29.2 min)
    r2 10724160.json      42.7s  5/10  (elapsed 29.9 min)
    r2 1303173.json      115.3s  6/10  (elapsed 31.8 min)
    r2 1345170.json       64.2s  7/10  (elapsed 32.9 min)
    r2 1671881.json      817.4s  8/10  (elapsed 46.5 min)
    r2 6859721.json      119.3s  9/10  (elapsed 48.5 min)
    r2 8326491.json       78.6s  10/10  (elapsed 49.8 min)
repeat 2 done: dev10 F1=0.7914

repeat 3: 0 cached, 10 to annotate
    r3 10196379.json      83.9s  1/10  (elapsed 51.2 min)
    r3 10484772.json      95.6s  2/10  (elapsed 52.8 min)
    r3 10545613.json      33.1s  3/10  (elapsed 53.3 min)
    r3 10577908.json     166.5s  4/10  (elapsed 56.1 min)
    r3 10724160.json      34.4s  5/10  (elapsed 56.7 min)
    r3 1303173.json      140.4s  6/10  (elapsed 59.0 min)
    r3 1345170.json       74.4s  7/10  (elapsed 60.3 min)
    r3 1671881.json       86.8s  8/10  (elapsed 61.7 min)
    r3 6859721.json      120.5s  9/10  (elapsed 63.7 min)
    r3 8326491.json       83.3s  10/10  (elapsed 65.1 min)
repeat 3 done: dev10 F1=0.7971

repeat 4: 0 cached, 10 to annotate
    r4 10196379.json     148.9s  1/10  (elapsed 67.6 min)
